Antarctica,0
Western Sahara,0
Guadeloupe,0
French Guiana,0
Martinique,0
Reunion,0
Wake Island,0
Central African Republic,0.1
Comoros,0.1
Sierra Leone,0.1
British Virgin Islands,0.1
American Samoa,0.2
Dominica,0.2
Gibraltar,0.2
Gambia,0.2
Grenada,0.2
Saint Kitts and Nevis,0.2
Saint Vincent/Grenadines,0.2
Samoa,0.2
Antigua and Barbuda,0.3
Cabo Verde,0.3
Saint Lucia,0.3
Turks and Caicos Islands,0.3
Chad,0.3
Burundi,0.4
Eritrea,0.4
Faroe Islands,0.4
Haiti,0.4
Somalia,0.4
Timor-Leste,0.4
Benin,0.5
Bermuda,0.5
Djibouti,0.5
U.S. Pacific Islands,0.5
South Sudan,0.5
Greenland,0.6
Maldives,0.6
French Polynesia,0.6
Seychelles,0.6
U.S. Virgin Islands,0.6
Cayman Islands,0.7
Rwanda,0.7
Aruba,0.8
Netherlands Antilles,0.8
Belize,0.9
Liberia,0.9
Lesotho,0.9
Barbados,1
Fiji,1
Guyana,1
Malawi,1
Togo,1.2
Equatorial Guinea,1.3
Niger,1.3
Eswatini,1.5
Guam,1.7
Mauritania,1.9
The Bahamas,2
Madagascar,2
Congo-Brazzaville,2.2
Gabon,2.4
Suriname,2.4
Guinea,2.5
Malta,2.5
Burkina Faso,2.6
Mali,2.7
Mauritius,2.7
Montenegro,2.9
Yemen,2.9
Uganda,3.1
Jamaica,3.2
Bhutan,3.3
New Caledonia,3.3
Botswana,3.4
Namibia,3.4
Brunei,4.2
Papua New Guinea,4.6
Cyprus,4.7
Nicaragua,4.9
Senegal,5.3
Afghanistan,5.5
Macau,5.6
Kosovo,5.6
Armenia,6.1
Cameroon,6.1
Laos,6.1
Palestinian Territories,6.2
El Salvador,6.4
Luxembourg,6.5
North Macedonia,6.7
Latvia,6.9
Nepal,7.2
Tanzania,7.2
Albania,7.4
Paraguay,7.7
Mongolia,7.8
Côte d’Ivoire,8
Honduras,8.2
Trinidad and Tobago,8.3
Zimbabwe,8.3
Estonia,8.8
Congo-Kinshasa,8.9
Kenya,9.1
Ethiopia,9.5
Panama,9.5
Bolivia,9.7
Moldova,9.7
Bosnia and Herzegovina,11
Costa Rica,11
Cambodia,11
Kyrgyzstan,12
Lithuania,12
North Korea,12
Georgia,13
Guatemala,13
Mozambique,13
Sudan,13
Syria,13
Slovenia,14
Uruguay,14
Zambia,14
Angola,15
Dominican Republic,15
Sri Lanka,15
Turkmenistan,15
Cuba,16
Croatia,16
Tajikistan,16
Tunisia,16
Burma,17
Puerto Rico,17
Ghana,18
Iceland,19
Lebanon,19
Jordan,20
Azerbaijan,25
Slovakia,26
Ecuador,27
Libya,27
Nigeria,27
Bulgaria,30
Bahrain,31
Serbia,31
Ireland,33
Oman,33
Morocco,35
Denmark,38
Belarus,41
New Zealand,41
Hungary,44
Qatar,45
Hong Kong,46
Portugal,48
Romania,51
Greece,52
Peru,52
Iraq,53
Singapore,53
Switzerland,58
Uzbekistan,58
Czechia,62
Israel,63
Kuwait,65
Austria,69
Algeria,69
Venezuela,71
Colombia,76
Bangladesh,78
Chile,81
Belgium,83
Finland,84
Kazakhstan,97
Philippines,98
Netherlands,113
Argentina,127
United Arab Emirates,129
Norway,131
Sweden,131
Pakistan,132
Ukraine,134
Malaysia,151
Poland,158
Egypt,168
South Africa,191
Thailand,203
Vietnam,229
Spain,234
Australia,237
Taiwan,278
Indonesia,282
Turkey,284
United Kingdom,287
Italy,300
Mexico,301
Iran,302
Saudi Arabia,329
France,447
Germany,512
Canada,555
South Korea,568
Brazil,577
Japan,913
Russia,996
India,1443
United States,3979
China,7806
World,25343
Former Czechoslovakia,--
Germany,--
Germany,--
Hawaiian Trade Zone,--
Former Serbia and Montenegro,--
Former U.S.S.R.,--
Former Yugoslavia,--
Cook Islands,(s)
Falkland Islands,(s)
Guinea-Bissau,(s)
Kiribati,(s)
Montserrat,(s)
Niue,(s)
Nauru,(s)
Saint Helena,(s)
Solomon Islands,(s)
Saint Pierre and Miquelon,(s)
Sao Tome and Principe,(s)
Tonga,(s)
Vanuatu,(s)
,
Northern Mariana Islands,
